id,kampo_id,syoyaku_id
1,1,1
2,1,2
3,1,3
4,1,4
5,1,5
6,1,6
7,1,7
8,1,8
9,1,9
10,1,10
11,1,11
12,1,12
13,1,13
14,1,14
15,1,15
16,1,16
17,1,17
18,1,18
19,2,1
20,2,11
21,2,14
22,2,17
23,2,19
24,2,20
25,2,21
26,2,22
27,3,3
28,3,9
29,3,14
30,3,20
31,3,23
32,3,24
33,4,1
34,4,15
35,4,25
36,4,26
37,5,17
38,5,27
39,5,28
40,5,29
41,5,30
42,5,31
43,6,2
44,6,3
45,6,4
46,6,8
47,6,13
48,6,17
49,6,23
50,6,32
51,6,33
52,6,34
53,7,31
54,8,2
55,8,3
56,8,5
57,8,8
58,8,12
59,8,13
60,8,14
61,8,19
62,8,28
63,8,35
64,8,36
65,9,3
66,9,4
67,9,14
68,9,17
69,9,20
70,9,27
71,9,37
72,9,38
73,9,39
74,10,17
75,10,27
76,10,28
77,10,29
78,10,30
79,11,2
80,11,4
81,11,9
82,11,17
83,11,28
84,11,40
85,12,3
86,12,11
87,12,18
88,12,27
89,12,30
