id,name,condition_id,kampo_id
1,筋肉質で太っている,1,1
2,腹部に脂肪がたまっている,1,1
3,便秘がちである,1,1
4,肩こりや耳鳴りなどの症状がある,1,2
5,みぞおちに張るような圧迫感がある,1,2
6,比較的体力がある,1,2
7,疲れやすい,1,3
8,色白で筋肉に締まりがない,1,3
9,むくみやすい水太りタイプである,1,3
10,口内炎がある,2,4
11,赤みのある皮膚の炎症が気になる,2,4
12,のぼせて赤くなりやすい,2,4
13,生理前にシミやにきびができやすい,2,5
14,肩がこりやすい,2,5
15,のぼせて、足の冷えが気になる,2,5
16,肌がひどく乾燥している,2,6
17,カサカサしてかゆい,2,6
18,湿疹・皮膚炎がある,2,6
19,肌のキメが気になる,2,7
20,硬めのイボが気になる,2,7
21,肌あれが気になる,2,7
22,腫れ、赤みなどが出て間もない,2,8
23,患部がじゅくじゅくしている,2,8
24,じんましんがよく出る,2,8
25,とくに手足などの末梢が冷える,3,9
26,汗をかきにくい,3,9
27,青白いといわれる,3,9
28,冷房が苦手,3,9
29,下半身は冷えるが顔はほてる,4,10
30,手は温かいが足は冷たい,4,10
31,生理前や生理の前半がつらい,4,10
32,シミやアザができやすい,4,10
33,とくに足腰が冷える,4,11
34,むくみやすい,4,11
35,貧血気味で、生理不順がある,4,11
36,色白で肌がひんやりしている,4,11
37,ふだんから便秘がち,4,12
38,生理痛がひどい,4,12
39,生理前にイライラや不安を感じることがある,4,12
40,経血に血塊が混ざることがある,4,12
